column,value,count,ratio_pct
Month,January,12500,12.5
Month,February,12500,12.5
Month,March,12500,12.5
Month,April,12500,12.5
Month,May,12500,12.5
Month,June,12500,12.5
Month,July,12500,12.5
Month,August,12500,12.5
Occupation,_______,7062,7.062
Occupation,Lawyer,6575,6.575
Occupation,Architect,6355,6.3549999999999995
Occupation,Engineer,6350,6.35
Occupation,Scientist,6299,6.299
Occupation,Mechanic,6291,6.2909999999999995
Occupation,Accountant,6271,6.271
Occupation,Developer,6235,6.235
Occupation,Media_Manager,6232,6.232
Occupation,Teacher,6215,6.215
Occupation,Entrepreneur,6174,6.174
Occupation,Doctor,6087,6.087
Occupation,Journalist,6085,6.085
Occupation,Manager,5973,5.973
Occupation,Musician,5911,5.9110000000000005
Occupation,Writer,5885,5.885
Credit_Mix,Standard,36479,36.479
Credit_Mix,Good,24337,24.337
Credit_Mix,_,20195,20.195
Credit_Mix,Bad,18989,18.989
Payment_of_Min_Amount,Yes,52326,52.32599999999999
Payment_of_Min_Amount,No,35667,35.667
Payment_of_Min_Amount,NM,12007,12.007
Payment_Behaviour,Low_spent_Small_value_payments,25513,25.513
Payment_Behaviour,High_spent_Medium_value_payments,17540,17.54
Payment_Behaviour,Low_spent_Medium_value_payments,13861,13.861
Payment_Behaviour,High_spent_Large_value_payments,13721,13.721
Payment_Behaviour,High_spent_Small_value_payments,11340,11.34
Payment_Behaviour,Low_spent_Large_value_payments,10425,10.424999999999999
Payment_Behaviour,!@9#%8,7600,7.6
