,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_History_Age_Months
Age,1.0,0.0053677938662692595,0.0638618044084542,-0.15210156450162823,-0.11788068948237294,-0.1711352899357494,-0.1700763819614938,-0.13662309571945663,-0.13916479248384614,-0.12545061418984862,-0.18492055902873628,-0.16684380023287165,0.017515396190923797,0.001760793357721003,0.0015679114966383966,0.08543363559204893,0.1859181036410263
Annual_Income,0.0053677938662692595,1.0,0.03051934158588735,-0.008334278987756535,-0.0025930407653317372,-0.006675248831921529,-0.005435814298001047,-0.010660105696222376,-0.0066777881731951635,0.0006145943123305037,-0.00934001659107284,-0.003705747300486926,0.010316359197193876,-0.00024809691007824985,-0.005317500196669508,0.020170353409374998,-0.002110048818165663
Monthly_Inhand_Salary,0.0638618044084542,0.03051934158588735,1.0,-0.2817217431873913,-0.21817023501333674,-0.29949038020481455,-0.2542619413125387,-0.2487190037973266,-0.28106603671298,-0.1749327350086562,-0.26440075091096926,-0.2697271553419562,0.1731915590311394,0.007263867526223359,0.061485295315107956,0.7048486888752505,0.2738832360145741
Num_Bank_Accounts,-0.15210156450162823,-0.008334278987756535,-0.2817217431873913,1.0,0.44279630455094277,0.5803998253430511,0.4731266509726389,0.5570826409978901,0.5937233107323134,0.331332619551887,0.491879246490447,0.507109433323088,-0.07168682863987758,-0.006116031101456753,-0.019542531192604153,-0.296824938052818,-0.4846255777379359
Num_Credit_Card,-0.11788068948237294,-0.0025930407653317372,-0.21817023501333674,0.44279630455094277,1.0,0.4936750183328064,0.4179829807643422,0.47760828528756616,0.4180340771717463,0.253741571627615,0.43465788235216296,0.49001145764538545,-0.055282621347784666,-0.0064780286718646605,-0.011913643891288737,-0.23564529467062403,-0.41676258295419255
Interest_Rate,-0.1711352899357494,-0.006675248831921529,-0.29949038020481455,0.5803998253430511,0.4936750183328064,1.0,0.5554695119405233,0.5825026487684449,0.5596517521325834,0.36478649616182013,0.5961085764243423,0.6250308936384947,-0.07591930500313081,-0.005123514043119252,-0.018841238757362287,-0.3237298588083999,-0.5746635728620002
Num_of_Loan,-0.1700763819614938,-0.005435814298001047,-0.2542619413125387,0.4731266509726389,0.4179829807643422,0.5554695119405233,1.0,0.49988394283833687,0.47056955974747977,0.37003917771048445,0.5367674875809247,0.6389902792012084,-0.10060861710714504,-0.0007306819036184605,-0.014922656260238261,-0.433215401325133,-0.606842962536802
Delay_from_due_date,-0.13662309571945663,-0.010660105696222376,-0.2487190037973266,0.5570826409978901,0.47760828528756616,0.5825026487684449,0.49988394283833687,1.0,0.5312321577079746,0.29054878203145545,0.5113776665877773,0.5708357701086804,-0.06387533417902451,-0.004151213185788595,-0.012471286286133611,-0.27809723148461307,-0.49059806740327616
Num_of_Delayed_Payment,-0.13916479248384614,-0.0066777881731951635,-0.28106603671298,0.5937233107323134,0.4180340771717463,0.5596517521325834,0.47056955974747977,0.5312321577079746,1.0,0.3195774654398164,0.46986499198109616,0.5004725285984001,-0.07364261102685071,-0.004601259414930456,-0.02341970563078364,-0.3002303323707116,-0.4770148688997207
Changed_Credit_Limit,-0.12545061418984862,0.0006145943123305037,-0.1749327350086562,0.331332619551887,0.253741571627615,0.36478649616182013,0.37003917771048445,0.29054878203145545,0.3195774654398164,1.0,0.3609476844198618,0.45854910418518,-0.04886184429782156,-0.0018402509084589963,-0.01170376367907072,-0.20390672910423532,-0.42477376885217416
Num_Credit_Inquiries,-0.18492055902873628,-0.00934001659107284,-0.26440075091096926,0.491879246490447,0.43465788235216296,0.5961085764243423,0.5367674875809247,0.5113776665877773,0.46986499198109616,0.3609476844198618,1.0,0.5686539328508176,-0.07168835267711898,-0.003336583975459398,-0.013557953929632084,-0.3024096819633072,-0.5841094539419588
Outstanding_Debt,-0.16684380023287165,-0.003705747300486926,-0.2697271553419562,0.507109433323088,0.49001145764538545,0.6250308936384947,0.6389902792012084,0.5708357701086804,0.5004725285984001,0.45854910418518,0.5686539328508176,1.0,-0.07116478179474309,-0.004856429515770067,-0.01587685241744641,-0.31475832050381014,-0.6292173595183298
