,count,mean,std,min,25%,50%,75%,max
Age,4600.0,34.239347826086956,10.255525062743652,18.0,26.0,34.0,42.0,56.0
Annual_Income,5000.0,165369.46458600002,1362670.5719718754,7006.035,19291.0275,36858.815,71818.01999999999,23871966.0
Monthly_Inhand_Salary,4245.0,4135.071409649109,3143.737743805597,380.6491666666667,1607.09,3056.409166666667,5885.07,15115.19
Num_Bank_Accounts,4924.0,5.377335499593826,2.5834403917882347,0.0,3.0,6.0,7.0,11.0
Num_Credit_Card,4892.0,5.529435813573181,2.0777546171773245,1.0,4.0,5.0,7.0,20.0
Interest_Rate,4908.0,14.713121434392828,8.765938059273681,1.0,8.0,13.0,20.0,75.0
Num_of_Loan,4807.0,3.5412939463282713,2.431309898350533,0.0,2.0,3.0,5.0,9.0
Delay_from_due_date,4969.0,21.339303682833567,14.810245928366081,0.0,10.0,18.0,28.0,67.0
Num_of_Delayed_Payment,4570.0,13.536323851203502,6.293515098232715,0.0,9.0,14.0,18.0,28.0
Num_Credit_Inquiries,4823.0,5.876425461331122,3.948715975429857,0.0,3.0,6.0,9.0,67.0
Outstanding_Debt,5000.0,1416.866592,1135.271867114339,0.54,581.5675,1166.895,1914.42,4987.19
Credit_Utilization_Ratio,5000.0,32.225211851331544,5.158102649449684,20.10076996070649,27.970951061315155,32.200944516070955,36.51210323705789,47.96956024134197
Total_EMI_per_month,5000.0,1218.3806251659978,7715.582251393359,0.0,29.872239519879848,68.0822036909103,157.3196826055028,81332.0
Amount_invested_monthly,4792.0,614.0334690096504,1998.8769607291727,0.0,73.47288253714974,132.87944781398167,257.0372912742212,10000.0
Monthly_Balance,4940.0,401.7638285649172,209.57984367925135,0.5035823529403842,272.46888738537564,336.873514779851,470.08053010811426,1528.7449364193988
