,column,raw_min,raw_median,raw_max,clean_min,clean_median,clean_max,dropped_pct
0,Age,-500.0,33.0,8616.0,18.0,34.0,56.0,8.0
1,Annual_Income,7006.035,36858.815,23871966.0,7006.035,36858.815,23871966.0,0.0
2,Monthly_Inhand_Salary,380.6491666666667,3056.409166666667,15115.19,380.6491666666667,3056.409166666667,15115.19,0.0
3,Num_Bank_Accounts,-1.0,6.0,1774.0,0.0,6.0,11.0,1.52
4,Num_Credit_Card,1.0,5.0,1478.0,1.0,5.0,20.0,2.16
5,Interest_Rate,1.0,14.0,5771.0,1.0,13.0,75.0,1.8399999999999999
6,Num_of_Loan,-100.0,3.0,1451.0,0.0,3.0,9.0,3.8600000000000003
7,Delay_from_due_date,-5.0,18.0,67.0,0.0,18.0,67.0,0.62
8,Num_of_Delayed_Payment,-3.0,14.0,4384.0,0.0,14.0,28.0,1.2999999999999998
9,Num_Credit_Inquiries,0.0,6.0,2572.0,0.0,6.0,67.0,1.6
10,Outstanding_Debt,0.54,1166.895,4987.19,0.54,1166.895,4987.19,0.0
11,Credit_Utilization_Ratio,20.10076996070649,32.200944516070955,47.96956024134197,20.10076996070649,32.200944516070955,47.96956024134197,0.0
12,Total_EMI_per_month,0.0,68.0822036909103,81332.0,0.0,68.0822036909103,81332.0,0.0
13,Amount_invested_monthly,0.0,132.87944781398167,10000.0,0.0,132.87944781398167,10000.0,0.0
14,Monthly_Balance,0.5035823529403842,336.873514779851,1528.7449364193988,0.5035823529403842,336.873514779851,1528.7449364193988,0.0
