rank,scaler,encoder,model,params,macro_f1,macro_f1_std,macro_recall,accuracy,fit_seconds
1,minmax,ordinal,RandomForest,"n_estimators=400, max_depth=15",0.696227271062566,0.0035212424893873093,0.7191853185063336,0.7108742877507903,1.8453683853149414
2,standard,ordinal,RandomForest,"n_estimators=400, max_depth=15",0.6941549387926492,0.003184980717023618,0.7164020406416638,0.7091244595925884,1.9492757320404053
3,robust,ordinal,RandomForest,"n_estimators=400, max_depth=15",0.6939782935164618,0.0031719469692029303,0.7160384050717399,0.7089994283347739,1.871063232421875
4,standard,onehot,RandomForest,"n_estimators=400, max_depth=15",0.6938226068904912,0.004307244227220933,0.7221619739614131,0.707124522037896,2.0165657997131348
5,minmax,onehot,RandomForest,"n_estimators=200, max_depth=15",0.6938126552655713,0.005043914377960455,0.7225088296915282,0.707124193871865,1.0171353816986084
6,minmax,ordinal,RandomForest,"n_estimators=200, max_depth=15",0.6935638495715368,0.0023675124498540845,0.7159981984502535,0.7081244439343807,1.0417439937591553
7,robust,onehot,RandomForest,"n_estimators=400, max_depth=15",0.6934014279123506,0.005936221415143283,0.7214489009538326,0.7067493345027295,1.918095588684082
8,robust,onehot,RandomForest,"n_estimators=200, max_depth=None",0.6931676172274587,0.0014410063276594377,0.6927345063611702,0.7173746473738795,1.104250431060791
9,minmax,onehot,RandomForest,"n_estimators=400, max_depth=15",0.6931346842068763,0.003770262439382379,0.7215946434454642,0.7063744282527326,1.8515944480895996
10,standard,onehot,RandomForest,"n_estimators=200, max_depth=None",0.693044012452669,0.0017169104507114964,0.6926226064795095,0.7169995067195746,1.1805589199066162
11,robust,ordinal,RandomForest,"n_estimators=200, max_depth=15",0.6930287882984594,0.004159606894153619,0.7151588266030148,0.7077493501609373,1.0597710609436035
12,standard,target,RandomForest,"n_estimators=400, max_depth=None",0.692692362250228,0.00479370847566859,0.6987792036757305,0.7137491628250144,2.0996668338775635
13,standard,ordinal,RandomForest,"n_estimators=200, max_depth=15",0.6926595693615898,0.004145356139791973,0.7143175556897815,0.7076242720222613,1.07586669921875
14,standard,onehot,RandomForest,"n_estimators=400, max_depth=None",0.6923984256327835,0.004507526610081073,0.6922203143183646,0.7159990691336127,2.0691545009613037
15,minmax,target,RandomForest,"n_estimators=400, max_depth=None",0.6923855550481194,0.004815428379630735,0.6993207853007282,0.7132492253172029,2.0623080730438232
16,standard,target,RandomForest,"n_estimators=400, max_depth=15",0.6921802358217223,0.0027904107913988728,0.7205165165005915,0.7053744125945247,2.0064637660980225
17,robust,target,RandomForest,"n_estimators=400, max_depth=None",0.692017619116589,0.006010003336164351,0.6983550569561509,0.7131240065359421,2.066516160964966
18,standard,onehot,RandomForest,"n_estimators=200, max_depth=15",0.6917435625367397,0.005298790280459339,0.7193689706977463,0.7052493813367103,1.0621483325958252
19,minmax,target,RandomForest,"n_estimators=400, max_depth=15",0.6917267209297796,0.0025796163614889215,0.7201416628567546,0.7048744750867132,2.003390312194824
